name,description,cuisinePrimary,cuisineSecondary,address_full,phone,website,latitude,longitude,rating,reviewCount,priceRange,features
"Aa Concept","","","","R. Padre Carapuceiro, 777, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d25140270-Reviews-Aa_Concept-Recife_State_of_Pernambuco.html","","",-1,-1,"",""
"Aa Concept","","","","Rua Carmelita Soares Muniz de Araujo. 223, Piso L3, Loja 4023, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d25140273-Reviews-Aa_Concept-Recife_State_of_Pernambuco.html","","",-1,-1,"",""
"Aa Concept","","","","Praça de Casa Forte 409, Recife, Pernambuco 52061-420","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d25140276-Reviews-Aa_Concept-Recife_State_of_Pernambuco.html","","",-1,-1,"",""
"Aa Concept","","","","Rua Real da Torre 538, Recife, Pernambuco 50610-000","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d25140258-Reviews-Aa_Concept-Recife_State_of_Pernambuco.html","","",-1,-1,"",""
"Academia Winner","","","","Rua Rio Tocantins 45 Maracana, Recife, Pernambuco 51190-030","","","-8.11015","-34.91796",5,3,"",""
"Acai Beat","","","","Rua Padre Carapuceiro 777 Quiosqqb3 5 Bv Shopping Cente Boa Viagem, Recife, Pernambuco 44927-000","","","-8.117421","-34.90141",4,2,"",""
"Acai Concept","","","","Avenida Gov Agamenon Magalhaes 153 Lj Q 20 Pavmto 1 Santo Amaro, Recife, Pernambuco 44927-000","","","-8.060702","-34.89816",2.3,3,"",""
"Acai Concept","","Brasileira","","Avenida Conselheiro Aguiar 4415, Recife, Pernambuco 51021-020","+55 81 99540-7977","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d14005008-Reviews-Acai_Concept-Recife_State_of_Pernambuco.html","-8.101087","-34.886505",4.5,2,"$",""
"Acai Mix Boa Viagem","Aceita cartão de crédito","Café","","Avenida Conselheiro Aguiar 3197 Loja 6, Recife, Pernambuco 51020-021","+55 81 99995-4244","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d11868700-Reviews-Acai_Mix_Boa_Viagem-Recife_State_of_Pernambuco.html","-8.11726","-34.89518",3.3,6,"$$ - $$$","Aceita cartão de crédito; Acesso para cadeirantes; American Express; Entrega; Estacionamento na rua; Lugares para sentar; Mastercard; Mesas ao ar livre; Pagamento digital; Para levar; Serviço de mesa; Televisão; Visa; Wi-fi gratuito"
"Acai No Ponto","","","","Rua Do Giriquiti 48 Quiosq223 Boa Vista, Recife, Pernambuco","","","-8.06022","-34.8874",4,2,"",""
"Acai No Ponto","","","","Rua Padre Carapuceiro 777 Qp 51 Area Mall Shop Boa Viagem, Recife, Pernambuco","","","-8.117421","-34.90141",3.8,6,"$",""
"Acarajé da Tia Joana","Há mais de 15 anos, a Tia Joana faz o mais saboroso acarajé do Recife. O seu ponto, na Padaria Massa Nobre, no bairro da Torre, é bastante conhecido pelos recifenses. Agora, a Tia Joana expandiu suas fronteiras e abriu nova unidade na Várzea, no Universitários Food Park.","","","Rua José Bonifácio, 414, Recife, Pernambuco 50710-435","+55 81 99894-2352","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d14078518-Reviews-Acaraje_da_Tia_Joana-Recife_State_of_Pernambuco.html","-8.0413","-34.908806",3.8,6,"$","Aceita cartão de crédito; Estacionamento disponível; Familiar"
"Achei Bar E Petiscaria","","","","Rua Rodrigues Ferreira, 95, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27309473-Reviews-Achei_Bar_E_Petiscaria-Recife_State_of_Pernambuco.html","-8.032714","-34.954506",-1,-1,"",""
"Adega Do Futuro","Dispondo de um ambiente sofisticado, a Adega do Futuro está instalada em uma área com mais de 750 metros quadrados, dividido em cinco ambientes, sendo um deles exclusivo para reservas corporativas. Pratos requintados para quem aprecia uma boa culinária ou para quem busca sair da rotina. Estamos localizados na Rua do Futuro, 634, Graças. Recife.","","","Rua do Futuro, 634, Recife, Pernambuco 52050-005","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d22888788-Reviews-Adega_Do_Futuro-Recife_State_of_Pernambuco.html","-8.039385","-34.90097",4.9,920,"$$$$","Aceita cartão de crédito; Acesso para cadeirantes; Bar completo; Lugares para sentar; Pagamento digital; Reservas; Restaurante privativo; Serve bebida alcoólica; Serviço de mesa; Traga sua própria bebida; Vinho e cerveja; Wi-fi gratuito"
"Adele Cozinha Libanesa","Restaurante de comida libanesa e mediterrânea.","Libanesa","","Rua Setubal, 1226, Recife, Pernambuco","+55 81 3097-1003","","-8.143343","-34.90519",3.7,6,"$$ - $$$",""
"Adupé Café e Arte","ADUPÉ CAFÉ E ARTE é uma cafeteria com programação cultural, dentre elas apresentações musicais, saraus, exibições de cinema e rodas de conversa. Além de proporcionar uma excelente experiência visual e gastronômica, estabelecemos um espaço acolhedor: sintam-se bem-vindes e à vontade para conversar, deitar, relaxar e, é claro, tomar um café ou drink ouvindo um bom som! Possuímos um cardápio inclusivo para quem come de tudo e para quem convive com restrição alimentar (veganos, intolerantes à gluten, ovo e lactose). Classificamos nossa cozinha enquanto afetiva: ofertamos comida honesta, feita com cuidado, amor e carinho, a fim de propor uma experiência reconfortante. Tudo a um preço justo e acessível. Prezamos pelo protagonismo de mulheres negras, oferecemos segurança para LGBTQIA+.","","","Rua Amaro Gomes Poroca, 267, Várzea, Recife, Pernambuco 50741-530","+55 81 98686-4730","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d24079668-Reviews-Adupe_Cafe_e_Arte-Recife_State_of_Pernambuco.html","-8.016393","-34.848366",-1,-1,"$$ - $$$","Aceita cartão de crédito; Acesso para cadeirantes; Áreas de lazer; Balcão externo; Lugares para sentar; Mesas ao ar livre; Música ao vivo; Permite cães; Restaurantes para não-fumantes; Serve bebida alcoólica; Serviço de mesa; Wi-fi gratuito"
"Afoxe","Acesso para cadeirantes","Churrasco","","R. Benfica, 676, Recife, Pernambuco","","","-8.05796","-34.90502",3.5,13,"$","Acesso para cadeirantes; Lugares para sentar; Serviço de mesa"
"Afritex","","","","Rua Arnobio Marques 310 Boa Vista, Recife, Pernambuco 50100-901","","","-8.04732","-34.88814",-1,-1,"",""
"Agua Na Boca","","","","Rua Gervasio Pires 100 Boa Vista, Recife, Pernambuco 50060-090","","","-8.0613","-34.88742",4,2,"",""
"Aika Comedoria","Entrega","Sushi","","Rua Ondina 51D Pina, Recife, Pernambuco 51011-180","8138771903","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d10286600-Reviews-Aika_Comedoria-Recife_State_of_Pernambuco.html","-8.09419","-34.88319",3.1,36,"$$ - $$$","Entrega; Lugares para sentar; Para levar; Serviço de mesa"
"Akira Ramen","","","","Avenida Conselheiro Aguiar, 3655, Recife, Pernambuco","+558132044020","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27234753-Reviews-Akira_Ramen-Recife_State_of_Pernambuco.html","-8.120762","-34.897106",-1,-1,"",""
"Alargaboca","","","","Rua Vinte E Um de Abril 9 Sl 2 Afogados, Recife, Pernambuco","","","-8.070997","-34.929226",-1,-1,"",""
"Alegrato Bistrô","","Contemporânea","","Rua Das Pernambucanas, 152, Recife, Pernambuco 52011-010","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d23104230-Reviews-Alegrato_Bistro-Recife_State_of_Pernambuco.html","-8.05101","-34.9003",-1,-1,"",""
"Alfa Café","","","","Rua Real Da Torre, 521, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27199805-Reviews-Alfa_Cafe-Recife_State_of_Pernambuco.html","-8.052361","-34.909004",-1,-1,"",""
"Alo Burguer","","","","Rua Santa Izabel, 529 Casa Amarela, Recife, Pernambuco 52070-245","+558132673779","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d8234043-Reviews-Alo_Burguer-Recife_State_of_Pernambuco.html","-8.02673","-34.92331",-1,-1,"",""
"Aloha Café & Açaí","Cafeteria super charmosa que oferece, além dos cafés especiais e suas variações, açaís puríssimos com diversos acompanhamentos, tapiocas rendadas e super recheadas, raviolli, rondeli e gratinado de bacalhau artesanais, cuscuz recheados, panini delicioso no pão ciabatta, sobremesas de comer ajoelhado, sucos detox, chás, cervejas e vinhos. O ambiente é super colorido e bem decorado, que abraça a gente e enche os olhos! O atendimento é personalizado e carinhoso.","Italiana","","Rua Barão de Souza Leão, 75 Loja 03, Recife, Pernambuco 51030-300","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d11958555-Reviews-Aloha_Cafe_Acai-Recife_State_of_Pernambuco.html","-8.13233","-34.90097",4.3,62,"$","Acesso para cadeirantes; American Express; Cadeiras para bebês; Estacionamento disponível; Estacionamento na rua; Lugares para sentar; Mastercard; Mesas ao ar livre; Para levar; Reservas; Serve bebida alcoólica; Serviço de mesa; Televisão; Vinho e cerveja; Visa; Wi-fi gratuito"
"Alphaiate","Aceita cartão de crédito","Bar","","Rua Artur Muniz 82 Praça La Curuna, Boa Viagem, Recife, Pernambuco 51111-190","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d2320355-Reviews-Alphaiate-Recife_State_of_Pernambuco.html","-8.10454","-34.88715",3.8,480,"$$ - $$$","Aceita cartão de crédito; Acesso para cadeirantes; Bar completo; Cadeiras para bebês; Estacionamento com manobrista; Lugares para sentar; Mesas ao ar livre; Para levar; Reservas; Serve bebida alcoólica; Serviço de mesa; Televisão; Wi-fi gratuito"
"Altas Horas Bar","","","","Rua Almirante Tamandare No 288, Recife, Pernambuco 51030-090","","","-8.13533","-34.90764",4.7,3,"",""
"Amarello Manga","","Sul-americana","","Rua Minas Gerais, 44, Recife, Pernambuco","+558132312344","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27885570-Reviews-Amarello_Manga-Recife_State_of_Pernambuco.html","-8.064538","-34.89337",-1,-1,"",""
"Amendotico","","","","Rua Castor 49 Bomba Do Hemeterio, Recife, Pernambuco 52111-050","","","-8.024121","-34.899178",-1,-1,"",""
"Anjo Solto Zona Norte","Acesso para cadeirantes","","","Rua Esmeraldino Bandeira 106 Graças, Recife, Pernambuco 52011-090","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d11547126-Reviews-Anjo_Solto_Zona_Norte-Recife_State_of_Pernambuco.html","-8.046758","-34.89943",4.5,48,"$$ - $$$","Acesso para cadeirantes; Lugares para sentar; Para levar; Reservas; Serve bebida alcoólica; Serviço de mesa"
"Anka Sushi","","","","Rua José Bonifácio 747 Dentro do Mercado da Torre, Recife, Pernambuco 50710-001","","","-8.0445","-34.90765",4,1,"",""
"Anna Corinna Douce Et Chocolat","Lugares para sentar","Brasileira","","Rua Joao Dias Martins 76, Recife, Pernambuco 51021-540","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d7132074-Reviews-Anna_Corinna_Douce_Et_Chocolat-Recife_State_of_Pernambuco.html","-8.128104","-34.905613",4.5,84,"$$ - $$$","Lugares para sentar; Serve bebida alcoólica; Serviço de mesa"
"Appenini Sorvetes Gourmet","Fabricamos Sorvetes Gourmet, utilizando tecnologia italiana e as melhores matérias-primas presentes no mercado. Nosso Gelataio desenvolve exclusivos sabores para os melhores chefs e restaurantes da cidade. Com criatividade e sofisticação, o resultado não poderia ser diferente: um Appenini com uma deliciosa textura e sabor, proporcionando uma inigualável experiência sensorial.  Com mais de um ano desde a abertura da casa, inovamos mais uma vez e trouxemos para o nosso espaço um novo cardápio com saladas, crepes salgados e doces, proporcionando agora, a possibilidade de se realizar todas as etapas da refeição com o toque Appenini. Vem conferir!","","","Estrada De Belem, 947, Recife, Pernambuco 52040-000","+55 81 3125-5103","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d4847436-Reviews-Appenini_Sorvetes_Gourmet-Recife_State_of_Pernambuco.html","-8.032398","-34.883667",4.5,75,"$$ - $$$","Aceita cartão de crédito; Acesso para cadeirantes; American Express; Lugares para sentar; Mastercard; Mesas ao ar livre; Para levar; Visa; Wi-fi gratuito"
"Aquisushi","","","","Rua Bujarú, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27385647-Reviews-Aquisushi-Recife_State_of_Pernambuco.html","-8.01887","-34.92704",-1,-1,"",""
"Ardente Arte Cafe","","","","Rua Giriquiti, 139 Boa vista, Recife, Pernambuco 50070-010","8194432044","","-8.0599","-34.88815",-1,-1,"",""
"Arena Camarão","Serviço de mesa","Sul-americana","","Av. Eng. Abdias de Carvalho, 2880 Cordeiro, Recife, Pernambuco 50750-970","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d16674120-Reviews-Arena_Camarao-Recife_State_of_Pernambuco.html","-8.062653","-34.932842",3.5,11,"","Serviço de mesa"
"Ariano Restaurante","","Saudável","","Rua Joaquim Xavier de Andrade , 72-A Poço da Panel, Recife, Pernambuco","","","-8.039359","-34.921394",4.7,3,"",""
"Armazena Burg","","","","Rua Padre Carlos de Barros Barreto 44 Cabanga, Recife, Pernambuco 50090-400","","","-8.07946","-34.89391",-1,-1,"",""
"Armazém Boa Viagem","","","","Rua Professor José Brandão 77, Recife, Pernambuco 51020-180","","","-8.113622","-34.89183",-1,-1,"",""
"Armazém Do Campo - Recife","","","","Avenida Martins De Barros, 387, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27394095-Reviews-Armazem_Do_Campo_Recife-Recife_State_of_Pernambuco.html","-8.063826","-34.876534",-1,-1,"",""
"Armazém Guimarães","","","","Avenida Conselheiro Aguiar 185, Recife, Pernambuco 51011-031","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d15003188-Reviews-Armazem_Guimaraes-Recife_State_of_Pernambuco.html","-8.09221","-34.88375",3.8,4,"",""
"Armazém Rio Branco","Aceita cartão de crédito","Bar","","Avenida Rio Branco, 155a loja A, Recife, Pernambuco 50030-310","+558130324586","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d20957189-Reviews-Armazem_Rio_Branco-Recife_State_of_Pernambuco.html","-8.06274","-34.87293",4.1,14,"$","Aceita cartão de crédito; Lugares para sentar; Serviço de mesa"
"Aromas & Sabores","","","","Rua Sete de Setembro 325 Lj 1 Boa Vista, Recife, Pernambuco 50050-030","","","-8.060095","-34.882954",3,1,"",""
"Arretado de Bom","Acesso para cadeirantes","Sul-americana","","Rua 21 de Abril 420, Afogados, Recife, Pernambuco 50820-000","+558134474104","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d6005367-Reviews-Arretado_de_Bom-Recife_State_of_Pernambuco.html","-8.0767","-34.91086",4.2,84,"$","Acesso para cadeirantes; Lugares para sentar; Para levar; Serviço de mesa"
"Artisano","","","","Rua República do Líbano, 251 RioMar Shopping, Recife, Pernambuco 51110-160","+55 81 3097-0070","","-8.08678","-34.89148",3.3,3,"",""
"Atelier Do Sabor - A Arte De Cozinhar","","","","Rua Major Codeceira 243 Sion, Recife, Pernambuco 50100-070","","","-8.0482","-34.88771",4,3,"",""
"Atlântico","Aceita cartão de crédito","Brasileira","","Avenida Rui Barbosa 500 Graças, Recife, Pernambuco 52011-040","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d3509190-Reviews-Restaurante_E_Pizzaria_Atlantico-Recife_State_of_Pernambuco.html","-8.04757","-34.89967",3.9,186,"$$ - $$$","Aceita cartão de crédito; Cadeiras para bebês; Entrega; Lugares para sentar; Para levar; Reservas; Serve bebida alcoólica; Serviço de mesa"
"Atracoes Do Sabor Restaurante e Lanchonete","Acesso para cadeirantes","Sul-americana","","Rua da Uniao 27 Centro, Recife, Pernambuco 50050-015","","","-8.06152","-34.88215",4.2,22,"$$ - $$$","Acesso para cadeirantes; Para levar"
"Augusto Bistrô","","Grelhados","","Rua do Sossego 287, Recife, Pernambuco 50100-150","","","-8.055637","-34.884846",4.7,3,"$",""
"Açai Maná","","","","Rua Manicoré, 186, Recife, Pernambuco","+5581988464022","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27309621-Reviews-Acai_Mana-Recife_State_of_Pernambuco.html","-8.055849","-34.91607",-1,-1,"",""
"Açai Tropical","","","","Rua Dagoberto Pires 85 Brasilia Teimosa, Recife, Pernambuco 51010-140","8130788202","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d10802473-Reviews-Acai_Tropical-Recife_State_of_Pernambuco.html","-8.087112","-34.882305",5,1,"",""
"Açaí Dona Sil","","","","Rua Visconde de Goiana 103, Recife, Pernambuco 50070-355","5581987203604","","-8.06337","-34.88991",-1,-1,"",""
"Açougue Padre Cícero","","","","Estrada Dos Remédios, 159, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27210652-Reviews-Acougue_Padre_Cicero-Recife_State_of_Pernambuco.html","-8.07883","-34.90694",-1,-1,"",""
"BAR DO CUSCUZ RECIFE PE","Lugares para sentar","Bar","","Av. Fernando Simões Barbosa, 170 Loja Oooo Lote 6 Boa Viagem, Recife, Pernambuco 51020-390","","","-8.119002","-34.901592",3.9,53,"$$ - $$$","Lugares para sentar; Reservas; Serviço de mesa"
"Babylon Station - Tap & Burger","Babylon Station is the first tap-house of Babylon Brewery, there is an automated system of draft beer through a prepaid consumable card with 12 different beers from Babylon and other breweries. In addition to the paradise for lovers of good beer, in the heart of the city, Babylon Station brings a menu of handcrafted burgers and snacks that stole the scene and were approved by those who have had the chance to taste them. The environment is divided into three areas, tables inside the mall; the internal environment, air-conditioned, with high benches and all graphite; and the outside area, with tiers, beach chairs, small tables and ombrelones. The mission of Babylon Station is to rescue the tradition of Old Recife in becoming a place to go with friends and families enjoy good music and now great beers! Experience this innovative experience.","Brasileira","","Rua Alfândega, 35 Loja 110, térreo do Shopping Paço Alfândega, Recife, Pernambuco 50030-030","","","-8.06448","-34.87387",4.4,17,"$$ - $$$","Aceita cartão de crédito; Acesso para cadeirantes; Lugares para sentar; Mesas ao ar livre; Para levar; Serviço de mesa"
"Babyshop","","","","Rua das Calcadas 413 S Jose, Recife, Pernambuco 50020-290","","","-8.07101","-34.8799",5,1,"",""
"Bacabelha","","","","Rua Conselheiro Portela, 417, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27309274-Reviews-Bacabelha-Recife_State_of_Pernambuco.html","-8.0418","-34.89418",-1,-1,"",""
"Bacana's Pizzaria O Point Do Sabor","","","","Rua São Pedro N° 08, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27385518-Reviews-Bacana_s_Pizzaria_O_Point_Do_Sabor-Recife_State_of_Pernambuco.html","-8.028578","-34.938778",-1,-1,"",""
"Baita Burguer","Acesso para cadeirantes","","","Rua Barao de Souza Leao 1344 Boa Viagem, Recife, Pernambuco 51030-300","+558134621481","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d5671982-Reviews-Baita_Burguer-Recife_State_of_Pernambuco.html","-8.1329","-34.91215",3.6,24,"$","Acesso para cadeirantes; Entrega; Lugares para sentar; Para levar; Serviço de mesa"
"Baião De Nois","O Baião de Nois presa pelo autêntica culinária regional e sempre mantendo o respeito a nossa cultura. venha conhecer o Baião! aqui você estará em casa.","Sul-americana","","Av. Gen Mac Arthur, 1111, Recife, Pernambuco 51160-280","+(55)8130374981","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d21251613-Reviews-Baiao_De_Nois-Recife_State_of_Pernambuco.html","-8.109791","-34.90853",4,1,"$$ - $$$",""
"Baker Parrilla & Beer","","","","Prof. Andrade Bezerra, 16 Parnamirim, Recife, Pernambuco 52060-270","+55(81) 99193-8511","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27526421-Reviews-Baker_Parrilla_Beer-Recife_State_of_Pernambuco.html","-8.032769","-34.912113",-1,-1,"",""
"Balcón Petiscaria","","","","Rua Alfredo Osório, 257, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27405710-Reviews-Balcon_Petiscaria-Recife_State_of_Pernambuco.html","-8.02796","-34.90642",-1,-1,"",""
"Bar & Lanchonete Da Tia.","","","","Rua Marques do Herval 202 1 De Maio, Recife, Pernambuco 50020-030","","","-8.06611","-34.88226",5,1,"",""
"Bar Bibiu","","","","Avenida Hildebrando de Vasconcelos 67 Dois Unidos, Recife, Pernambuco 52140-005","","","-7.995746","-34.909176",-1,-1,"",""
"Bar Bistrô Cristal","Dispõe de 170 lugares para à la carte e buffet dependendo da ocasião. Cozinha internacional e como não poderia deixar de ser, uma pitada de pernambucanidade. O ambiente é muito agradável. De um lado avista-se a linda Galeria de Artesanato do BEST WESTERN Manibu Recife, com destaque para a obra de Francisco Brennand, e do outro lado o terraço com o verde dá o tom do melhor que a casa pode oferecer","Contemporânea","","AV. Conselheiro Aguiar 919 No Hotel Manibu Recife, Recife, Pernambuco 51011-031","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d5978900-Reviews-Bar_Bistro_Cristal-Recife_State_of_Pernambuco.html","-8.098608","-34.885525",4.1,70,"$$ - $$$","Acesso para cadeirantes; Lugares para sentar; Serve bebida alcoólica; Serviço de mesa"
"Bar Central","O bar Central é um restaurante e bar que iniciou suas atividades no ano de 2004. Hoje pode ser considerado uma referência no Centro do Recife. Abre ao meio-dia, oferecendo almoço, e segue funcionando sem interrupção até as 2 horas da manhã. A partir das 18h, são colocadas mesas na calçada do estabelecimento. A cozinha do Central oferece pratos do mundo. Alguns clássicos da casa: sanduíche falafel, filé com fritas, pastelzinho, coxinha, samosa, arrumadinho, steak au poivre, filé à parmegiana, além de muitas opções vegetarianas. O Central está localizado próximo à Rua da Aurora, numa região histórica do Recife, com vários equipamentos culturais por perto, às margens do Rio Capibaribe, numa das paisagens-icone da cidade.","Bar","","Rua Mamede Simões, 144 Lojas 5, 6, 7, 8 & 9, Recife, Pernambuco 50050-570","+55 81 3222 7622","","-8.057858","-34.880157",4.3,194,"$$ - $$$","Aceita cartão de crédito; Acesso para cadeirantes; American Express; Bar completo; Lugares para sentar; Mastercard; Mesas ao ar livre; Reservas; Serve bebida alcoólica; Serviço de mesa; Visa; Wi-fi gratuito"
"Bar Da Carol","","","","Rua Odilon Araújo, 405, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27309011-Reviews-Bar_Da_Carol-Recife_State_of_Pernambuco.html","-8.034502","-34.932793",-1,-1,"",""
"Bar Da Curva","","Bar","","Rua Manuel de Medeiros 44 Dois Irmaos, Recife, Pernambuco 52171-030","+55 81 98867-9430","","-8.016064","-34.94527",3.6,14,"$",""
"Bar Da Marcia","","Pub","","Avenida da Recuperacao Km 62-63 250 S Cristovao, Recife, Pernambuco 52091-530","","","-7.993651","-34.93744",2,1,"",""
"Bar Da Nilda","","Pub","","Rua Nova Descoberta 2225 Nova Descoberta, Recife, Pernambuco 52090-003","","","-8.00206","-34.92372",5,2,"",""
"Bar Do Afrânio","","","","Avenida Boa Viagem, 3232, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27234813-Reviews-Bar_Do_Afranio-Recife_State_of_Pernambuco.html","-8.118262","-34.893524",-1,-1,"",""
"Bar Do Alemao","","","","Rua Santos Leite 43 Pina, Recife, Pernambuco 51110-140","","","-8.08787","-34.88661",5,1,"",""
"Bar Do André","","","","Jornalista Luiz Teixeira, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27210453-Reviews-Bar_Do_Andre-Recife_State_of_Pernambuco.html","-8.04523","-34.91477",-1,-1,"",""
"Bar Do Bode","Reservas","","","Dos Prazeres 19 Areias, Recife, Pernambuco","","","-8.097728","-34.924862",4.3,9,"$$ - $$$","Reservas"
"Bar Do Duda","","","","R- Curimatau, Recife, Pernambuco","+558132732805","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27309483-Reviews-Bar_Do_Duda-Recife_State_of_Pernambuco.html","-8.03114","-34.94202",-1,-1,"",""
"Bar Do Filipe","","","","Rua Pio Genesio Guerra 185 Iputinga, Recife, Pernambuco 50670-120","","","-8.047608","-34.936104",-1,-1,"",""
"Bar Do Gordo","","","","Rua Da Roda 279 Fundosloja 1 Santo Antonio, Recife, Pernambuco","","","-8.063193","-34.87843",-1,-1,"",""
"Bar Do Max","","","","Rua Doutor Valdir Pessoa 88 Imbiribeira, Recife, Pernambuco 51150-070","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d8252669-Reviews-Bar_Do_Max-Recife_State_of_Pernambuco.html","-8.08974","-34.90522",-1,-1,"",""
